era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
revival,2026,Heart On Lipstick,Lips,Lipstick,501,Haute & Naughty,Deep Bright Plum,High Shine,shine_gloss,berry_plum,,,unknown,low,color_cosmetic,0,73,41,37,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,300,Fully Loaded,Soft Orange Coral,High Shine,shine_gloss,coral_orange,,,unknown,low,color_cosmetic,0,69,64,15,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,104,Eat It Up,Cool Medium Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,43,42,29,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,109,Burning Up,Deep Dark Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,58,57,56,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,106,Burning Desire,Yellow Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,44,50,26,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,103,Booty Call,Warm Maroon Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,47,53,15,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,100,Blow Stick,Warm Fair Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,27,38,5,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,113,Twin Cheeks,Deep Pink Nude,Natural,natural,pink,,,unknown,low,color_cosmetic,0,69,53,15,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,112,Shady Business,Rosewood Nude,Natural,natural,nude,,,unknown,low,color_cosmetic,0,57,53,18,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,111,Self Centered,Mauvy Nude,Natural,natural,nude,,,unknown,low,color_cosmetic,0,45,41,14,converted_from_rgb,false
